Year,GDP_Index,Electricity_Price_p_per_kWh,Electricity_CPI_2010_100
1970,292.19,0.78,108.02
1971,298.51,0.85,109.2
1972,309.35,0.89,107.83
1973,326.51,0.9,102.61
1974,310.7,1.14,108.59
1975,311.16,1.56,124.22
1976,318.83,1.9,133.98
1977,323.8,2.18,133.96
1978,339.61,2.41,132.15
1979,350.9,2.63,125.8
1980,345.03,3.32,133.91
1981,344.12,3.93,144.63
1982,349.99,4.32,148.1
1983,365.35,4.44,145.91
1984,374.38,4.47,141.59
1985,385.67,4.6,138.75
1986,401.03,4.67,137.07
1987,419.09,4.59,130.04
1988,441.67,4.82,129.47
1989,450.7,5.14,129.64
1990,451.61,5.37,131.1
1996,499.93,5.83,81.49
1997,517.47,5.41,77.59
1998,534.66,5.32,73.18
1999,553.52,5.22,71.38
2000,566.61,4.98,69.09
2001,573.88,4.62,67.45
2002,588.43,4.49,66.32
2003,600.8,4.38,65.46
2004,618.98,5.09,67.63
2005,635.71,6.05,72.59
2006,653.17,7.49,86.06
2007,670.41,7.94,90.83
2008,689.16,9.3,101.52
2009,699.66,9.88,104.14
2010,710.16,9.41,100.0
2011,724.41,9.9,104.97
2012,735.66,10.53,109.23
2013,749.9,11.16,114.92
2014,761.9,11.61,119.62
2015,766.4,11.67,118.49
2016,779.9,11.52,116.0
2017,794.72,12.14,121.46
2018,811.88,13.23,129.53
2019,826.69,14.29,136.02
2020,868.86,14.61,129.63
2021,868.03,16.26,138.31
2022,915.5,23.23,195.5
2023,978.67,28.8,207.6
2024,1018.03,26.06,169.4
