year,month,tmax,tmin,rain_mm
1942,1,5.8,2.1,114.0
1942,2,4.2,-0.6,13.8
1942,3,9.7,3.7,58.0
1942,4,13.1,5.3,42.5
1942,5,14.0,6.9,101.1
1942,6,16.2,9.9,2.3
1942,7,17.4,11.3,70.2
1942,8,18.7,12.3,78.5
1942,9,16.4,10.7,146.8
1942,10,13.1,8.2,131.1
1942,11,9.2,4.6,19.8
1942,12,9.6,6.2,183.9
1943,1,8.2,3.5,176.7
1943,2,8.9,4.6,65.4
1943,3,10.2,4.1,21.0
1943,4,13.0,6.8,39.4
1943,5,14.1,7.4,83.5
1943,6,15.9,9.8,58.7
1943,7,18.6,11.7,57.3
1943,8,18.1,12.0,86.5
1943,9,15.8,10.0,127.1
1943,10,13.6,8.3,120.3
1943,11,9.7,5.9,93.0
1943,12,6.9,2.7,63.6
1944,1,9.2,5.8,87.9
1944,2,6.5,3.1,34.0
1944,3,8.6,3.1,17.0
1944,4,12.7,6.6,44.9
1944,5,13.8,7.0,37.2
1944,6,15.4,9.9,53.2
1944,7,18.2,12.6,54.5
1944,8,19.7,12.8,100.2
1944,9,15.7,10.3,80.7
1944,10,12.1,7.8,131.9
1944,11,9.5,5.8,156.2
1944,12,7.7,4.3,71.9
1945,1,4.5,1.3,58.8
1945,2,9.6,5.1,110.7
1945,3,10.4,5.2,34.3
1945,4,13.3,6.6,55.1
1945,5,14.3,8.3,82.8
1945,6,16.5,10.2,68.5
1945,7,17.4,12.2,130.6
1945,8,18.1,11.9,41.9
1945,9,17.1,11.3,61.2
1945,10,15.2,9.1,66.9
1945,11,10.7,5.6,34.7
1945,12,8.9,5.1,116.2
1946,1,6.9,2.2,138.0
1946,2,8.2,4.9,78.6
1946,3,8.7,2.6,28.9
1946,4,12.8,6.3,30.9
1946,5,14.1,6.7,59.3
1946,6,14.6,8.8,79.4
1946,7,17.1,11.2,62.6
1946,8,16.3,11.0,121.6
1946,9,16.3,11.3,103.1
1946,12,7.2,3.1,106.6
1947,1,5.8,1.4,122.9
1947,5,13.9,8.0,99.1
1947,6,17.0,10.4,67.4
1947,7,17.4,11.7,52.8
1947,8,21.4,13.2,20.2
1947,9,17.5,11.4,69.5
1947,10,14.2,8.0,29.9
1947,11,10.1,6.5,100.1
1947,12,7.7,4.9,92.9
1948,1,8.2,4.6,167.5
1948,2,7.4,2.9,56.8
1948,3,13.5,5.8,51.9
1948,4,11.4,4.8,36.4
